GEOID,NAME,total_pop,white,black,native_american,asian,pacific_islander,hispanic_latino
01001,"Autauga County, Alabama",58805,42160,11445,217,881,35,2117
01003,"Baldwin County, Alabama",231767,189399,18217,1582,2067,143,12686
01005,"Barbour County, Alabama",25223,11317,11933,116,117,1,1510
01007,"Bibb County, Alabama",22293,16555,4413,60,32,9,740
01009,"Blount County, Alabama",59134,50663,845,337,178,24,5771
01011,"Bullock County, Alabama",10357,2320,7396,72,9,10,503
01013,"Butler County, Alabama",19051,9752,8430,29,143,5,260
01015,"Calhoun County, Alabama",116441,80586,25559,487,1190,119,5010
21135,"Lewis County, Kentucky",13080,12633,36,18,9,4,83
21137,"Lincoln County, Kentucky",24275,22671,470,40,60,2,475
21139,"Livingston County, Kentucky",8888,8287,25,25,15,6,186
21141,"Logan County, Kentucky",27432,23902,1682,59,95,2,853
21143,"Lyon County, Kentucky",8680,7772,510,27,34,1,152
21145,"McCracken County, Kentucky",67875,54304,7598,214,663,18,2135
21147,"McCreary County, Kentucky",16888,15315,916,64,32,3,365
21151,"Madison County, Kentucky",92701,80557,3963,271,1006,60,3064
21155,"Marion County, Kentucky",19581,16948,1214,23,134,47,681
21157,"Marshall County, Kentucky",31659,29908,101,69,136,9,539
21161,"Mason County, Kentucky",17120,14867,1024,40,111,0,356
21163,"Meade County, Kentucky",30003,26321,987,139,218,74,1133
21167,"Mercer County, Kentucky",22641,20268,768,62,74,14,703
21169,"Metcalfe County, Kentucky",10286,9701,117,5,7,0,230
21173,"Montgomery County, Kentucky",28114,25566,621,57,146,1,925
21175,"Morgan County, Kentucky",13726,12570,496,20,17,4,417
21179,"Nelson County, Kentucky",46738,41500,2200,95,268,8,1214
21181,"Nicholas County, Kentucky",7537,7178,41,15,7,3,154
21185,"Oldham County, Kentucky",67607,58537,2244,200,1177,17,3235
21187,"Owen County, Kentucky",11278,10550,83,26,18,4,251
21191,"Pendleton County, Kentucky",14644,13904,56,21,30,4,201
21195,"Pike County, Kentucky",58669,55974,496,81,373,14,695
21197,"Powell County, Kentucky",13129,12559,66,28,30,0,197
21201,"Robertson County, Kentucky",2193,2112,6,3,7,0,19
21203,"Rockcastle County, Kentucky",16037,15378,60,35,30,0,172
21207,"Russell County, Kentucky",17991,16733,113,78,104,3,781
21209,"Scott County, Kentucky",57155,48523,2951,185,594,25,3103
21213,"Simpson County, Kentucky",19594,16374,1640,80,94,8,648
21215,"Spencer County, Kentucky",19490,17910,299,38,90,12,450
21219,"Todd County, Kentucky",12243,10354,887,43,22,6,598
21223,"Trimble County, Kentucky",8474,7992,30,38,27,4,192
21225,"Union County, Kentucky",13668,11873,1041,27,32,1,188
21229,"Washington County, Kentucky",12027,10538,659,30,38,5,470
21231,"Wayne County, Kentucky",19555,18139,240,49,62,6,902
21235,"Whitley County, Kentucky",36712,34307,568,92,207,10,687
21237,"Wolfe County, Kentucky",6562,6383,27,10,5,8,61
23001,"Androscoggin County, Maine",111139,96625,6531,420,906,58,2222
23003,"Aroostook County, Maine",67105,62521,447,1221,396,21,912
23007,"Franklin County, Maine",29456,27356,174,73,386,24,407
23009,"Hancock County, Maine",55478,51444,355,262,566,10,969
23013,"Knox County, Maine",40607,37713,272,154,250,18,672
23015,"Lincoln County, Maine",35237,33215,165,105,234,9,395
23019,"Penobscot County, Maine",152199,139311,1507,1431,1865,46,2715
23021,"Piscataquis County, Maine",16800,15572,61,113,120,7,261
23025,"Somerset County, Maine",50477,47184,250,237,263,18,656
23029,"Washington County, Maine",31095,27789,162,1407,121,10,667
23031,"York County, Maine",211972,195326,2098,657,2520,61,4097
27003,"Anoka County, Minnesota",363887,280171,28657,2531,19257,105,19506
27005,"Becker County, Minnesota",35183,29818,203,2468,162,22,575
27007,"Beltrami County, Minnesota",46228,32794,543,9418,280,18,1108
27009,"Benton County, Minnesota",41379,36145,2022,232,466,9,1216
27011,"Big Stone County, Minnesota",5166,4832,29,49,17,4,140
27013,"Blue Earth County, Minnesota",69112,58205,3970,292,1841,33,3221
27015,"Brown County, Minnesota",25912,24321,128,51,127,6,1171
27017,"Carlton County, Minnesota",36207,31151,562,2217,153,12,612
27019,"Carver County, Minnesota",106922,92448,2208,291,3641,18,5308
27021,"Cass County, Minnesota",30066,24801,73,3512,111,0,426
27023,"Chippewa County, Minnesota",12598,10653,75,131,49,296,1243
27025,"Chisago County, Minnesota",56621,51394,853,339,776,6,1451
47121,"Meigs County, Tennessee",12758,11894,134,58,26,1,220
47125,"Montgomery County, Tennessee",220069,137775,44569,1154,5202,1000,22934
47127,"Moore County, Tennessee",6461,6030,103,25,30,1,101
47131,"Obion County, Tennessee",30787,25009,3159,67,103,0,1574
47133,"Overton County, Tennessee",22511,21332,89,66,61,0,344
47137,"Pickett County, Tennessee",5001,4829,8,8,15,1,83
47139,"Polk County, Tennessee",17544,16430,62,67,33,10,297
47143,"Rhea County, Tennessee",32870,28987,604,183,195,11,1960
47145,"Roane County, Tennessee",53404,48463,1303,204,342,21,1011
47149,"Rutherford County, Tennessee",341486,226227,53977,1739,12538,254,38317
47151,"Scott County, Tennessee",21850,21051,47,37,51,0,205
47153,"Sequatchie County, Tennessee",15826,14585,72,89,65,4,621
47157,"Shelby County, Tennessee",929744,326077,477321,3334,28149,344,77707
47159,"Smith County, Tennessee",19904,18192,364,92,84,0,518
47163,"Sullivan County, Tennessee",158163,144395,3254,423,1278,39,3548
47165,"Sumner County, Tennessee",196281,158075,15740,711,2956,119,12870
47169,"Trousdale County, Tennessee",11615,8883,1922,30,27,0,375
47171,"Unicoi County, Tennessee",17928,16386,44,68,37,0,1107
47175,"Van Buren County, Tennessee",6168,5890,22,7,10,1,83
47177,"Warren County, Tennessee",40953,34794,1097,144,258,10,3943
47181,"Wayne County, Tennessee",16232,14595,888,23,27,3,379
47183,"Weakley County, Tennessee",32902,28113,2609,70,195,3,905
47187,"Williamson County, Tennessee",247726,203600,9876,574,12953,117,14261
47189,"Wilson County, Tennessee",147737,120782,10191,601,3106,44,8375
49003,"Box Elder County, Utah",57666,50784,178,516,455,103,5537
49005,"Cache County, Utah",133154,112842,1115,1108,2353,705,15076
49009,"Daggett County, Utah",935,884,4,0,2,2,29
49011,"Davis County, Utah",362679,302352,4376,2503,7143,3345,39295
49015,"Emery County, Utah",9825,9003,4,63,40,7,705
49017,"Garfield County, Utah",5083,4541,11,107,37,7,384
49019,"Grand County, Utah",9669,7817,73,373,80,13,1226
49021,"Iron County, Utah",57289,49237,408,1091,641,244,5482
49023,"Juab County, Utah",11786,10972,18,98,34,44,574
49025,"Kane County, Utah",7667,7084,31,129,61,1,322
49027,"Millard County, Utah",12975,10855,15,152,142,13,1774
49029,"Morgan County, Utah",12295,11691,12,43,57,3,338
49031,"Piute County, Utah",1438,1291,0,6,0,0,124
49033,"Rich County, Utah",2510,2359,11,3,2,4,97
49035,"Salt Lake County, Utah",1185238,847970,23474,13189,51030,21742,232088
49037,"San Juan County, Utah",14518,6275,36,7278,54,53,747
49039,"Sanpete County, Utah",28437,24277,224,307,171,247,3043
49041,"Sevier County, Utah",21522,19667,65,340,45,49,1053
49043,"Summit County, Utah",42357,35927,173,133,728,44,4737
49045,"Tooele County, Utah",72698,61011,465,726,526,651,9522
49047,"Uintah County, Utah",35620,29607,98,2432,169,97,2834
49049,"Utah County, Utah",659399,537757,4403,4602,10413,6722,88531
49051,"Wasatch County, Utah",34788,29131,157,188,361,41,5046
49053,"Washington County, Utah",180279,151777,988,2189,1866,1669,20482
49055,"Wayne County, Utah",2486,2283,1,19,16,3,96
49057,"Weber County, Utah",262223,205396,3613,2735,3852,1031,48742
50003,"Bennington County, Vermont",37347,34183,430,70,406,5,939
50005,"Caledonia County, Vermont",30233,27656,234,100,368,17,605
50009,"Essex County, Vermont",5920,5566,15,18,16,5,67
50011,"Franklin County, Vermont",49946,45509,338,501,321,16,915
50015,"Lamoille County, Vermont",25945,23778,225,89,141,2,651
50017,"Orange County, Vermont",29277,26978,162,135,166,5,477
50021,"Rutland County, Vermont",60572,55453,517,159,460,14,1225
50023,"Washington County, Vermont",59807,54149,651,153,633,26,1569
50027,"Windsor County, Vermont",57753,52881,466,185,548,17,1230
51001,"Accomack County, Virginia",33413,20261,8670,297,255,4,3430
27165,"Watonwan County, Minnesota",11253,8209,48,95,96,0,3227
29037,"Cass County, Missouri",107824,91092,5018,574,853,109,5583
29043,"Christian County, Missouri",88842,79916,616,539,647,72,3012
29049,"Clinton County, Missouri",21184,19426,209,78,85,6,502
29055,"Crawford County, Missouri",23056,21138,148,124,92,14,482
29061,"Daviess County, Missouri",8430,7977,33,29,18,10,113
29067,"Douglas County, Missouri",11578,10673,40,77,25,4,239
29073,"Gasconade County, Missouri",14794,13756,23,37,51,14,189
29079,"Grundy County, Missouri",9808,9225,56,37,54,8,241
29085,"Hickory County, Missouri",8279,7683,18,50,15,0,132
29091,"Howell County, Missouri",39750,36329,194,291,222,23,896
29097,"Jasper County, Missouri",122761,98581,2342,2249,1507,456,11377
29101,"Johnson County, Missouri",54013,45354,2369,305,844,215,2595
29107,"Lafayette County, Missouri",32984,29627,679,155,116,12,1047
29113,"Lincoln County, Missouri",59574,53497,1097,232,235,31,1541
29119,"McDonald County, Missouri",23303,17093,435,586,379,870,2818
29125,"Maries County, Missouri",8432,7841,23,43,7,0,134
29131,"Miller County, Missouri",24722,23089,117,124,67,32,466
29137,"Monroe County, Missouri",8666,7956,181,32,31,1,159
29143,"New Madrid County, Missouri",16434,12703,2741,38,62,4,253
29149,"Oregon County, Missouri",8635,8049,25,69,9,0,117
29155,"Pemiscot County, Missouri",15661,10280,4308,38,36,4,415
29203,"Shannon County, Missouri",7031,6506,7,37,13,0,141
29209,"Stone County, Missouri",31076,28574,85,220,115,20,782
29215,"Texas County, Missouri",24487,22240,790,150,65,8,515
29221,"Washington County, Missouri",23514,21465,610,79,40,1,227
29227,"Worth County, Missouri",1973,1897,0,4,6,5,25
29510,"St. Louis city, Missouri",301578,132292,129814,948,12289,102,15405
